Timestamp,Level,RemainingPassengers,PassengerPosition,Action,Reasoning,BusColor,WaitingAreaStatus
2025-06-01 22:30:55,0,6,(0;0),bus,"Priority: 100.00",2,0/5
2025-06-01 22:30:57,0,5,(1;0),bus,"Priority: 100.00",2,0/5
2025-06-01 22:31:02,0,4,(2;0),bus,"Priority: 100.00",2,0/5
2025-06-01 22:31:04,0,3,(1;1),waiting,"Priority: 100.00",2,0/5
2025-06-01 22:31:07,0,2,(0;1),bus,"Priority: 100.00",4,0/5
2025-06-01 22:31:10,0,1,(2;1),bus,"Priority: 100.00",4,0/5
2025-06-01 22:31:13,1,6,(1;0),bus,"Priority: 100.00",0,0/5
2025-06-01 22:31:16,1,5,(1;1),bus,"Priority: 100.00",0,0/5
2025-06-01 22:31:20,1,4,(1;2),bus,"Priority: 100.00",0,0/5
2025-06-01 22:31:23,1,3,(0;0),waiting,"Priority: 100.00",0,0/5
2025-06-01 22:31:26,1,2,(0;1),bus,"Priority: 100.00",2,0/5
2025-06-01 22:31:29,1,1,(0;2),bus,"Priority: 100.00",2,0/5
2025-06-01 22:31:34,2,6,(1;0),bus,"Priority: 100.00",4,0/5
2025-06-01 22:31:38,2,5,(0;1),waiting,"Priority: 100.00",4,0/5
2025-06-01 22:31:43,2,5,(0;1),waiting,"Priority: 100.00",4,0/5
2025-06-01 22:31:47,2,5,(1;1),waiting,"Priority: 100.00",4,0/5
2025-06-01 22:31:49,2,5,(0;1),bus,"Priority: 100.00",4,1/5
2025-06-01 22:31:52,2,4,(1;2),bus,"Priority: 100.00",4,1/5
2025-06-01 22:31:55,2,3,(0;0),waiting,"Priority: 100.00",4,1/5
2025-06-01 22:31:58,2,1,(0;2),bus,"Priority: 100.00",1,0/5
2025-06-01 22:32:02,3,9,(0;0),bus,"Priority: 100.00",0,0/5
2025-06-01 22:32:04,3,8,(0;1),bus,"Priority: 100.00",0,0/5
2025-06-01 22:32:07,3,7,(0;2),bus,"Priority: 100.00",0,0/5
2025-06-01 22:32:11,3,6,(1;1),waiting,"Priority: 100.00",0,0/5
2025-06-01 22:32:14,3,6,(1;0),bus,"Priority: 100.00",4,1/5
2025-06-01 22:32:17,3,5,(2;0),bus,"Priority: 100.00",4,1/5
2025-06-01 22:32:22,3,4,(2;1),bus,"Priority: 100.00",4,1/5
2025-06-01 22:32:26,3,3,(1;2),waiting,"Priority: 100.00",4,1/5
2025-06-01 22:32:30,3,1,(2;2),bus,"Priority: 100.00",3,0/5
2025-06-01 22:32:33,4,12,(3;0),bus,"Priority: 100.00",1,0/5
2025-06-01 22:32:36,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:32:40,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:32:43,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:32:45,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:32:51,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:32:54,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:32:57,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
